s0,C_MD,C_M,C_mu,C_c,MK,MKi,MKad,MD,FA,ad,rd,uFA,x,y,z,voxel_nerve,voxel_type,analysisID,experiment,Histology
26.7199704300212,0.208071761664291,0.350968954656062,0.434970865703455,0.806879224171621,1.04054712471235,0.788222031714269,0.252325092998082,0.617623954603425,0.592426328462926,1.10030640770419,0.376282728053041,0.659523210890606,65,65,0,Chiasm,Experimental,IQ1,Ischemia,Injured
31.8698380117024,0.234617762160295,0.286409860450731,0.347978148400992,0.823068522454139,1.10998844615819,0.919610165591918,0.190378280566276,0.701055769933911,0.535172738889726,1.17732216758774,0.462922571106995,0.589896726894625,65,66,0,Chiasm,Experimental,IQ1,Ischemia,Injured
30.663983579715,0.231303155949585,0.348088445174153,0.466158642469341,0.746716704275297,1.24398084129919,0.902708880906042,0.341271960393146,0.498124837595125,0.589990207693444,0.884374539864656,0.30499998646036,0.682758114173198,65,67,0,Chiasm,Experimental,IQ1,Ischemia,Injured
22.1483588886863,0.1839403542011,0.093391361938365,0.19683423577746,0.474467063971295,0.81863424700972,0.676201875002755,0.142432372006964,0.930561068996562,0.305600003171409,1.26892826722556,0.761377469882065,0.443660045279559,66,64,0,Chiasm,Experimental,IQ1,Ischemia,Injured
20.1946475727025,0.212706961509077,0.421575719583918,0.524345394013628,0.804003857756708,1.16057856233156,0.810525247054609,0.350053315276948,0.537988343162408,0.649288625792812,1.01251881893793,0.300723105274647,0.724116975366293,66,65,0,Chiasm,Experimental,IQ1,Ischemia,Injured
20.3516136758056,0.214899708895261,0.568078990034052,0.74031808454033,0.767344472459805,1.57918113304902,0.821167860960295,0.758013272088724,0.358412253056084,0.753710149881274,0.753558055260823,0.160839351953714,0.860417389724504,66,66,0,Chiasm,Experimental,IQ1,Ischemia,Injured
26.9901938123569,0.251087721903259,0.399891125876855,0.528022573201236,0.757337178697569,1.44006348203192,1.00580960913619,0.434253872895732,0.472323369260483,0.632369453624109,0.874588364676324,0.271190871552562,0.726651617490277,66,67,0,Chiasm,Experimental,IQ1,Ischemia,Injured
25.4523883202086,0.30628019607719,0.268067286982693,0.323092144533388,0.82969298857401,1.53827074181415,1.3245125525259,0.213758189288251,0.465478009371368,0.517752148216396,0.772363238375478,0.312035394869314,0.568411949675047,66,68,0,Chiasm,Experimental,IQ1,Ischemia,Injured
19.5602687701924,0.224509140748397,0.339313866839037,0.398545348104678,0.851380823920483,1.07761743415908,0.868517551445012,0.209099882714069,0.708085035264512,0.582506538022567,1.24880589997528,0.43772460290913,0.631304481296211,67,65,0,Chiasm,Experimental,IQ1,Ischemia,Injured
25.5343012567258,0.245492170482004,0.36353809384702,0.42906780953133,0.847274220464386,1.22944719516115,0.976101880767092,0.253345314394058,0.615934828264713,0.602941202645017,1.10836880970562,0.369717837544261,0.655032678216385,67,66,0,Chiasm,Experimental,IQ1,Ischemia,Injured
25.0484245904409,0.270911091417096,0.289389261976837,0.442866865169259,0.653445278337172,1.51738753371498,1.11472450709881,0.402663026616165,0.476828424137379,0.537949125825888,0.806152795899526,0.312166238256305,0.665482430398624,67,67,0,Chiasm,Experimental,IQ1,Ischemia,Injured
28.1642793207588,0.22584806885868,0.313357478017768,0.401432524277806,0.780598130611143,1.12474649711573,0.875208314183431,0.249538182932302,0.428828790426472,0.559783420634952,0.739507568412171,0.273489401433623,0.63358702975819,67,68,0,Chiasm,Experimental,IQ1,Ischemia,Injured
14.8284906254859,0.267181018915394,0.298708774369812,0.345927141278923,0.863501988498096,1.28622820087825,1.09378042522843,0.19244777564982,0.66505738547543,0.546542564097081,1.13051254614715,0.432329805139571,0.58815571176256,68,65,0,Chiasm,Experimental,IQ1,Ischemia,Injured
20.0151081023692,0.276058802605767,0.405465731262027,0.492712594020339,0.822925446158354,1.51025625206425,1.14398297927823,0.366273272786023,0.495107094763066,0.636761910969891,0.920219458184148,0.282550913052526,0.701934893006708,68,66,0,Chiasm,Experimental,IQ1,Ischemia,Injured
21.6027775869609,0.27675098533915,0.307260594060471,0.565677381142966,0.543172847815909,1.8433536049992,1.14794896251158,0.695404642487614,0.346437304359758,0.554310918222319,0.589862731022413,0.22472459102843,0.752115271180533,68,67,0,Chiasm,Experimental,IQ1,Ischemia,Injured
29.5802583069311,0.227550166329506,0.13541365366568,0.144018190673302,0.940253818164261,0.929662692745678,0.883747357086905,0.0459153356587728,0.57633196941246,0.367985942212037,0.82904000246141,0.449977952887985,0.379497286779895,68,68,0,Chiasm,Experimental,IQ1,Ischemia,Injured
12.417691601584,0.295220789007963,0.289857996509035,0.36034540483119,0.80438932375126,1.50758487293571,1.25665222981995,0.25093264311576,0.555470956946617,0.538384617637832,0.934619368525835,0.365896751157007,0.600287768350472,69,65,0,Chiasm,Experimental,IQ1,Ischemia,Injured
19.8790076584383,0.279430261799394,0.144749579538189,0.312267488650612,0.46354354775673,1.47304225592086,1.16337217753766,0.309670078383202,0.553496309632862,0.38045969502457,0.807114182463867,0.42668737321736,0.558808991204161,69,66,0,Chiasm,Experimental,IQ1,Ischemia,Injured
21.9088683670602,0.262614403269662,0.20753957376627,0.502045920545894,0.413387631037025,1.69442516250103,1.0684277171976,0.625997445303424,0.329148201375147,0.455565114738025,0.504302802549382,0.241570900788029,0.708551988597798,69,67,0,Chiasm,Experimental,IQ1,Ischemia,Injured
