,s0,C_MD,C_M,C_mu,C_c,MK,MKi,MKad,MD,FA,ad,rd,uFA,x,y,z,voxel_nerve,voxel_type,analysisID,experiment,Histology,Class,Prob_Intact,Prob_Injured,Prob_Injured_plus
5367,34.8043308976136,0.0922036813925903,0.287954518217077,0.593708821919074,0.485009667342161,0.885574769028602,0.304706065124941,0.580868703903662,0.65081887253531,0.536613937777502,1.08819281860556,0.432131899500186,0.770525030040604,69,69,3,Left,Intact,L6,LPS,Intact,Intact,0.7822337456788635,0.1316835401590704,0.08608271416206603
5368,26.3363141219557,0.171701074881238,0.347091179982636,0.523683558299213,0.662788003331434,1.03770460864053,0.621880831934989,0.415823776705537,0.641941125017309,0.589144447468221,1.13795095330493,0.393936210873496,0.723659836041225,69,70,3,Left,Intact,L6,LPS,Intact,Intact,0.888693828717904,0.06599060098306656,0.045315570299029134
5369,18.3176191507614,0.213463127456244,0.120677218943719,0.189730159449056,0.636046579490287,0.930121800461308,0.814188634663289,0.115933165798019,0.873391842957457,0.347386267638373,1.22754663838358,0.696314445244393,0.435580256036768,69,71,3,Left,Intact,L6,LPS,Intact,Injured,0.34025680907415984,0.5441242660874863,0.11561892483835377
5370,17.8862333283754,0.278075246213694,0.648654918452556,0.68010618851973,0.953755353799046,1.62007917684377,1.15555774236274,0.464521434481029,0.358403248424772,0.805391158663017,0.800779459707659,0.137215142783328,0.824685508857607,72,68,3,Right,Experimental,L6,LPS,Regional,Intact,0.9680240513938334,0.01745853073531507,0.01451741787085151
5371,18.4762171774884,0.296383881205772,0.43621174304326,0.485083997716883,0.899249913615688,1.58676271409593,1.26368856520945,0.323074148886481,0.442073743361958,0.660463279102828,0.842289988060056,0.241965621012908,0.69647971809442,72,69,3,Right,Experimental,L6,LPS,Regional,Intact,0.812833314454611,0.10998232191938515,0.07718436362600378
5372,18.9487221596096,0.253372095864435,0.553072182019337,0.672926835366303,0.821890513131753,1.62486006200898,1.01806573714032,0.606794324868661,0.348859900445121,0.743688229044495,0.725727995744869,0.160425852795248,0.820321178177366,72,70,3,Right,Experimental,L6,LPS,Regional,Intact,0.9260511719026896,0.06211825159329823,0.011830576504012327
5373,11.1220234091935,0.495458215221629,0.19646409508213,0.301674218145348,0.651245891312703,3.36388222832381,2.94598919357651,0.417893034747299,0.287336674884127,0.443242704488331,0.43103435995704,0.215487832347671,0.549248776189213,72,71,3,Right,Experimental,L6,LPS,Regional,Injured_plus,0.10876933418453336,0.3951762700435459,0.49605439577192073
5374,21.7565328630359,0.0735756780533211,0.599086971816621,0.845871013758774,0.70824861246217,1.11527318156575,0.238256950871231,0.877016230694524,0.413153923229883,0.774007087704384,0.888941961954486,0.175259903867582,0.919712462544014,73,67,3,Right,Experimental,L6,LPS,Regional,Intact,0.9987540924274729,0.0010739781042222378,0.00017192946830473483
5375,26.6326096885056,0.131888865755004,0.675124600178378,0.822827291501114,0.82049368944329,1.15326693249226,0.455778738063447,0.697488194428814,0.461442722547721,0.821659662012428,1.05176363730939,0.166282265166886,0.907098281059508,73,68,3,Right,Experimental,L6,LPS,Regional,Intact,0.9990389721499325,0.0008978662831465075,6.316156692096541e-05
5376,23.0412971225085,0.14195965204218,0.705012317640685,0.865567483454441,0.814508783101478,1.34019990853237,0.496339079088942,0.843860829443423,0.40790255970901,0.83965011620358,0.950903076774514,0.136402301176257,0.930358792861357,73,69,3,Right,Experimental,L6,LPS,Regional,Intact,0.9994312025499297,0.0005461217131089556,2.2675736961451248e-05
5377,22.8880583455068,0.141934547049911,0.679814720593424,0.851437076033649,0.79843213283627,1.33756248263416,0.496236784368594,0.841325698265562,0.402377816093382,0.824508775328331,0.920368878339254,0.143382284970446,0.922733480498919,73,70,3,Right,Experimental,L6,LPS,Regional,Intact,0.9994312025499297,0.0005461217131089556,2.2675736961451248e-05
5378,23.6127789370339,0.192050468004762,0.393168829539178,0.671581266627127,0.585437457947247,1.49089212063499,0.713103209047571,0.777788911587415,0.412317488115817,0.62703176118852,0.758021855069139,0.239465304639156,0.81950062027257,73,71,3,Right,Experimental,L6,LPS,Regional,Injured,0.4083454162287143,0.41195195175775196,0.1797026320135338
5379,22.6363136785575,0.0789446916070987,0.583671637423013,0.859403860531973,0.679158733429146,1.24063961125854,0.257133391082165,0.983506220176375,0.422772788475984,0.76398405573874,0.899395312650239,0.184461526388857,0.927040376969619,74,67,3,Right,Experimental,L6,LPS,Regional,Intact,0.9992018536215028,0.0007754706415356706,2.2675736961451248e-05
5381,23.4628468930069,0.252937696265741,0.49916324336048,0.566249341601477,0.881525516566143,1.39132899835979,1.01572932405266,0.375599674307122,0.502021075227994,0.706514857140655,1.00324153498045,0.251410845351766,0.752495409687977,74,69,3,Right,Experimental,L6,LPS,Regional,Intact,0.9774872898411942,0.017010947370755397,0.005501762788050565
5382,19.5979298859843,0.27704047787245,0.545905599571829,0.620439747216216,0.879868838225136,1.63385419933634,1.14960991338976,0.484244285946584,0.404654735060397,0.738854247853952,0.836908219723566,0.188527992728812,0.787679977666194,74,70,3,Right,Experimental,L6,LPS,Regional,Intact,0.9582341892777486,0.032788877543733344,0.00897693317851788
5383,20.9830198975715,0.202495679382664,0.492839459589895,0.726033849205422,0.678810581805879,1.58603965969549,0.761735105933654,0.824304553761834,0.376634434481369,0.702025255663851,0.748903927110849,0.19049968816663,0.85207619917788,74,71,3,Right,Experimental,L6,LPS,Regional,Intact,0.8930966726083116,0.08604911186665663,0.02085421552503173
5384,10.7553434699562,0.327865124000935,0.27809698165963,0.34126935166783,0.814889999059488,1.71610091014804,1.46338987474915,0.252711035398892,0.521526836811534,0.527349013139904,0.847421274788196,0.358579617823203,0.584182635541173,74,72,3,Right,Experimental,L6,LPS,Regional,Injured,0.26247390796532916,0.40398280885531723,0.3335432831793534
5385,23.3750348181654,0.072147325539814,0.4470687526612,0.792455484021494,0.564156298587839,1.17227469957792,0.233271921908686,0.939002777669234,0.498574158724894,0.668632000925173,0.955801311504685,0.269960582334998,0.890199687722644,75,67,3,Right,Experimental,L6,LPS,Regional,Intact,0.9901464552989843,0.005542586837768465,0.004310957863247168
